"","en"
"game_item_tooltip_3197","<titleLeft>Augment: Graviton</titleLeft><titleRight>Cannot Be Sold</titleRight><subtitleLeft>+3 Ability Power per level (Current Bonus: <font color='#99FF99'> @f1@</font>)<br>+200 Mana<br>+10% Cooldown Reduction<br>+5 Mana Regen per 5 seconds</subtitleLeft><mainText><br><font color='#FF9900' >Ability Augment</font>: Gravity Field has an additional 30% cast range.</mainText>"
"game_item_tooltip_3198","<titleLeft>Augment: Death</titleLeft><titleRight>Cannot Be Sold</titleRight><subtitleLeft>+3 Ability Power per level (Current Bonus: <font color='#99FF99'> @f1@</font>)<br>+45 Ability Power</subtitleLeft><mainText><br><font color='#FF9900' >Ability Augment</font>: Death Ray sets fire to enemies, dealing 30% additional magic damage over 4 seconds.</mainText>"
"game_item_tooltip_3200","<titleLeft>The Hex Core</titleLeft><titleRight>Can Not Be Sold</titleRight><subtitleLeft>+3 Ability Power per level (Current Bonus: <font color='#99FF99'> @f1@</font>)</subtitleLeft><mainText><br>This item can be upgraded into one of three augments that enhance Viktor's basic abilities. Click the item in the store to discover its upgrades.</mainText>"
"game_item_tooltip_5375",""
"game_item_tooltip_5376",""
"game_item_tooltip_5377",""
"game_item_tooltip_5378",""
"game_item_tooltip_5379",""
"game_item_tooltip_5380",""
"game_item_tooltip_5400",""
"game_item_tooltip_5401",""
"game_item_tooltip_5402",""
"game_item_tooltip_5403",""
"game_item_tooltip_5404",""
"game_item_tooltip_5405",""
"game_item_tooltip_5406",""
"game_item_tooltip_5407",""
"game_item_tooltip_5408",""
"game_item_tooltip_5409",""
"game_item_tooltip_5410",""
"game_item_tooltip_5411",""
"game_item_tooltip_5412",""
"game_item_tooltip_5413",""
"game_item_tooltip_5414",""
"game_item_tooltip_5415",""
"game_item_tooltip_5416",""
"game_item_tooltip_5417",""
"game_item_tooltip_5418",""
"game_item_tooltip_8013",""
"game_item_tooltip_8014",""
"game_item_tooltip_8015",""
"game_item_tooltip_8016",""
"game_item_tooltip_8017",""
"game_item_tooltip_8018",""
"game_item_tooltip_8019",""
"game_item_tooltip_8020",""
"game_item_tooltip_8021",""
"game_item_tooltip_8022",""
"game_item_tooltip_8023",""
"game_item_tooltip_8024",""
"game_item_tooltip_8025",""
"game_item_tooltip_8026",""
"game_item_tooltip_8027",""
"game_item_tooltip_8028",""
"game_item_tooltip_8029",""
"game_item_tooltip_8030",""
"game_item_tooltip_8031",""
"game_item_tooltip_8032",""
"game_item_tooltip_8033",""
"game_item_tooltip_8034",""
"game_load_has_ended_while_loading","The game is no longer running.  Please feel free to play a new game."
"game_loadscreen_connected","Connected"
"game_loadscreen_loading","Loading"
"game_loadscreen_LVL","LVL %d"
"game_loadscreen_not_connected","Not Connected"
"game_loadscreen_ready","Ready"
"game_loadscreen_spawning","Summoning"
"game_loadscreen_VS","VS"
"game_loadscreen_warning_drivers_out_of_date","Warning: Your video card drivers are out of date. Go to the manufacturer's website for update instructions."
"game_lua_Aegis_Block","Blocked!"
"game_lua_Armsman_dodge","Dodge Up!"
"game_lua_BlackShield_immune","Spell Immune!"
"game_lua_BlindMonk_critical","Critical Up!"
"game_lua_Cryophoenix_rebirth","Rebirth on Cooldown"
"game_lua_DoubleStrike","Double Strike!"
"game_lua_Highlander","Can't Be Slowed!"
"game_lua_Ragnarok","Can't Be Disabled!"
"game_lua_RelentlessAssault_mana","Out of Mana!"
"game_lua_SpellImmunity","Spell Immune!"
"game_lua_Tristana_range","Range Up!"
"game_lua_UndyingRage","Endless Rage!"
"game_lua_UnleashTheBeast_dodge","Dodge Up!"
"game_map_description_1","The oldest and most venerated Field of Justice is known as Summoner's Rift.  This battleground is known for the constant conflicts fought between two opposing groups of Summoners.  Traverse down one of three different paths in order to attack your enemy at their weakest point.  Work with your allies to siege the enemy base and destroy their Headquarters!"
"game_map_description_2","AUTUMN VERSION!!! The oldest and most venerated Field of Justice is known as Summoner's Rift.  This battleground is known for the constant conflicts fought between two opposing groups of Summoners.  Traverse down one of three different paths in order to attack your enemy at their weakest point.  Work with your allies to siege the enemy base and destroy their Headquarters!"
"game_map_description_3","Tutorial"
"game_map_description_4","Twisted Treeline is one of the few remaining forests near Zaun that has not been exploited for natural resources; a mere cursory glance at the geography of the arena quickly explains why. The misuse of magic - mainly from Zaun but also from the numerous battles fought here during the various Rune Wars - has warped the verdant environs of the Twisted Treeline terrain into a bizarre, alien-like visage."
"game_map_description_6","WINTER VERSION!!! The oldest and most venerated Field of Justice is known as Summoner's Rift.  This battleground is known for the constant conflicts fought between two opposing groups of Summoners.  Traverse down one of three different paths in order to attack your enemy at their weakest point.  Work with your allies to siege the enemy base and destroy their Headquarters!"
"game_map_description_8","The Crystal Scar was once known as the mining village of Kalamanda, until open war between Demacia and Noxus broke out over control of its vast underground riches. Settle your disputes on this Field of Justice by working with your allies to seize capture points and declare dominion over your enemies!"
"game_map_displayname_1","Summoner's Rift"
"game_map_displayname_2","Summoner's Rift (Autumn)"
"game_map_displayname_3","Tutorial"
"game_map_displayname_4","The Twisted Treeline"
"game_map_displayname_6","Summoner's Rift (Winter)"
"game_map_displayname_8","The Crystal Scar"
"game_mastery_displayname_211","Summoner's Wrath"
"game_mastery_displayname_212","Brute Force"
"game_mastery_displayname_213","Mental Force"
"game_mastery_displayname_214","Butcher"
"game_mastery_displayname_222","Alacrity"
"game_mastery_displayname_223","Sorcery"
"game_mastery_displayname_224","Demolitionist"
"game_mastery_displayname_231","Deadliness"
"game_mastery_displayname_232","Weapon Expertise"
"game_mastery_displayname_233","Arcane Knowledge"
"game_mastery_displayname_234","Havoc"
"game_mastery_displayname_241","Lethality"
"game_mastery_displayname_242","Vampirism"
"game_mastery_displayname_243","Blast"
"game_mastery_displayname_252","Sunder"
"game_mastery_displayname_253","Archmage"
"game_mastery_displayname_262","Executioner"
"game_mastery_displayname_311","Summoner's Resolve"
"game_mastery_displayname_312","Resistance"
"game_mastery_displayname_313","Hardiness"
"game_mastery_displayname_314","Tough Skin"
"game_mastery_displayname_322","Durability"
"game_mastery_displayname_323","Vigor"
"game_mastery_displayname_331","Indomitable"
"game_mastery_displayname_332","Veteran's Scars"
"game_mastery_displayname_333","Evasion"
"game_mastery_displayname_334","Bladed Armor"
"game_mastery_displayname_341","Siege Commander"
"game_mastery_displayname_342","Initiator"
"game_mastery_displayname_343","Enlightenment"
"game_mastery_displayname_352","Honor Guard"
"game_mastery_displayname_353","Mercenary"
"game_mastery_displayname_362","Juggernaut"
"game_mastery_displayname_411","Summoner's Insight"
"game_mastery_displayname_412","Good Hands"
"game_mastery_displayname_413","Expanded Mind"
"game_mastery_displayname_414","Improved Recall"
"game_mastery_displayname_422","Swiftness"
"game_mastery_displayname_423","Meditation"
"game_mastery_displayname_424","Scout"
"game_mastery_displayname_432","Greed"
"game_mastery_displayname_433","Transmutation"
"game_mastery_displayname_434","Runic Affinity"
"game_mastery_displayname_442","Wealth"
"game_mastery_displayname_443","Awareness"
"game_mastery_displayname_444","Sage"
"game_mastery_displayname_452","Strength of Spirit"
"game_mastery_displayname_453","Intelligence"
"game_mastery_displayname_463","Mastermind"
"game_mastery_level1desc_211","Improves the following Summoner Spells:<br><font color='#FFCC00'>Exhaust:</font> Reduces target's Magic Resist and Armor by 10<br><font color='#FFCC00'>Ignite:</font> Increases Ability Power and Attack Damage by 5 while on cooldown<br><font color='#FFCC00'>Surge:</font> Increases Attack Speed bonus to 40% and Ability Power gained by 10%<br><font color='#FFCC00'>Ghost:</font> Increases Movement Speed bonus to 35%"
"game_mastery_level1desc_212","+1 Attack Damage"
"game_mastery_level1desc_213","+1 Ability Power"
"game_mastery_level1desc_214","Basic attacks deal 2 bonus damage to minions and monsters."
"game_mastery_level1desc_222","+1% Attack Speed"
"game_mastery_level1desc_223","+1% Cooldown Reduction"
"game_mastery_level1desc_224","Basic attacks deal 10 bonus damage to turrets."
"game_mastery_level1desc_231","+1% Critical Strike Chance"
"game_mastery_level1desc_232","+10% Armor Penetration"
"game_mastery_level1desc_233","+10% Magic Penetration"
"game_mastery_level1desc_234","Increases damage dealt by 0.5%."
"game_mastery_level1desc_241","+10% Critical Strike Damage"
"game_mastery_level1desc_242","+1% Life Steal"
"game_mastery_level1desc_243","+0.25 Ability Power per level (+4.5 Ability Power at champion level 18)"
"game_mastery_level1desc_252","+2 Armor Penetration"
"game_mastery_level1desc_253","Increases your Ability Power by 1.25%."
"game_mastery_level1desc_262","Increases damage dealt by 6% to targets below 40% Health."
"game_mastery_level1desc_311","Improves the following Summoner Spells:<br><font color='#FFCC00'>Revive:</font> Grants a massive Movement Speed boost for a short duration upon reviving<br><font color='#FFCC00'>Cleanse:</font> Increases duration of disable reduction by 1 second<br><font color='#FFCC00'>Heal:</font>Increases Health restored by 10%<br><font color='#FFCC00'>Smite:</font> Grants 10 bonus gold on use<br><font color='#FFCC00'>Garrison:</font> Allied Garrisoned turrets deal 50% splash damage"
"game_mastery_level1desc_312","+2 Magic Resist"
"game_mastery_level1desc_313","+2 Armor"
"game_mastery_level1desc_314","Reduces damage taken from minions and monsters by 1."
"game_mastery_level1desc_322","+1.5 Health per level (+27 Health at champion level 18)"
"game_mastery_level1desc_323","+1 Health Regen per 5 seconds"
"game_mastery_level1desc_331","Reduces incoming damage by 1."
"game_mastery_level1desc_332","+30 Health"
"game_mastery_level1desc_333","Reduces the damage taken from area effect abilities by 1%."
"game_mastery_level1desc_334","Returns 6 damage against minion and monster attacks."
"game_mastery_level1desc_341","Reduces the Armor of nearby enemy turrets by 10 (does not stack)."
"game_mastery_level1desc_342","Increases Movement Speed by 1% when above 70% Health."
"game_mastery_level1desc_343","+0.15% Cooldown Reduction per level (+2.7% Cooldown Reduction at champion level 18)"
"game_mastery_level1desc_352","Reduces damage taken by 0.5%."
"game_mastery_level1desc_353","Gain 8 bonus gold on champion kills and assists (50% reduced effect on the Crystal Scar)."
"game_mastery_level1desc_362","Increases your maximum Health by 3% and reduces the duration of incoming disables by 10%."
"game_mastery_level1desc_411","Improves the following Summoner Spells:<br><font color='#FFCC00'>Teleport:</font> Reduces cast time by 0.5 seconds<br><font color='#FFCC00'>Promote:</font>Increases promoted minion's bonus defensive stats by 15%<br><font color='#FFCC00'>Flash:</font> Reduces cooldown by 15 seconds<br><font color='#FFCC00'>Clarity:</font> Increases Mana restored by 20%<br><font color='#FFCC00'>Clairvoyance:</font> Increases duration by 2 seconds"
"game_mastery_level1desc_412","Reduces time spent dead by 4%."
"game_mastery_level1desc_413","+4 Mana per level (+72 Mana at champion level 18) or +4 Energy"
"game_mastery_level1desc_414","Reduces the cast time of Recall by 1 second and Enhanced Recall by 0.5 seconds."
"game_mastery_level1desc_422","+0.5% Movement Speed"
"game_mastery_level1desc_423","+1 Mana Regen per 5 seconds"
"game_mastery_level1desc_424","Increases vision range of wards by 5%."
"game_mastery_level1desc_432","Gain an additional 0.5 gold every 10 seconds."
"game_mastery_level1desc_433","+1% Spell Vamp"
"game_mastery_level1desc_434","Increases the duration of shrine, relic, quest, and neutral monster buffs by 20%."
"game_mastery_level1desc_442","Increases starting gold by 20."
"game_mastery_level1desc_443","Increases experience gained by 1.25%."
"game_mastery_level1desc_444","Gain 40 bonus experience on champion kills and assists (50% reduced effect on the Crystal Scar)."
"game_mastery_level1desc_452","Increases Health Regen per 5 seconds by 0.4% of maximum Mana."
"game_mastery_level1desc_453","+2% Cooldown Reduction"
"game_mastery_level1desc_463","Reduces the cooldown of your Summoner Spells by 15%."
"game_mastery_level2desc_211",""
"game_mastery_level2desc_212","+2 Attack Damage"
"game_mastery_level2desc_213","+2 Ability Power"
"game_mastery_level2desc_214","Basic attacks deal 4 bonus damage to minions and monsters."
"game_mastery_level2desc_222","+2% Attack Speed"
"game_mastery_level2desc_223","+2% Cooldown Reduction"
"game_mastery_level2desc_224",""
"game_mastery_level2desc_231","+2% Critical Strike Chance"
"game_mastery_level2desc_232",""
"game_mastery_level2desc_233",""
"game_mastery_level2desc_234","Increases damage dealt by 1%."
"game_mastery_level2desc_241",""
"game_mastery_level2desc_242","+2% Life Steal"
"game_mastery_level2desc_243","+0.5 Ability Power per level (+9 Ability Power at champion level 18)"
"game_mastery_level2desc_252","+4 Armor Penetration"
"game_mastery_level2desc_253","Increases your Ability Power by 2.5%."
"game_mastery_level2desc_262",""
"game_mastery_level2desc_311",""
"game_mastery_level2desc_312","+4 Magic Resist"
"game_mastery_level2desc_313","+4 Armor"
"game_mastery_level2desc_314","Reduces damage taken from minions and monsters by 2."
"game_mastery_level2desc_322","+3 Health per level (+54 Health at champion level 18)"
"game_mastery_level2desc_323","+2 Health Regen per 5 seconds"
"game_mastery_level2desc_331","Reduces incoming damage by 2."
"game_mastery_level2desc_332",""
"game_mastery_level2desc_333","Reduces the damage taken from area effect abilities by 2%."
"game_mastery_level2desc_334",""
"game_mastery_level2desc_341",""
"game_mastery_level2desc_342","Increases Movement Speed by 2% when above 70% Health."
"game_mastery_level2desc_343","+0.3% Cooldown Reduction per level (+5.4% Cooldown Reduction at champion level 18)"
"game_mastery_level2desc_352","Reduces damage taken by 1%."
"game_mastery_level2desc_353","Gain 16 bonus gold on champion kills and assists (50% reduced effect on the Crystal Scar)."
"game_mastery_level2desc_362",""
"game_mastery_level2desc_411",""
"game_mastery_level2desc_412","Reduces time spent dead by 7%."
"game_mastery_level2desc_413","+8 Mana per level (+144 Mana at champion level 18) or +7 Energy"
"game_mastery_level2desc_414",""
"game_mastery_level2desc_422","+1% Movement Speed"
"game_mastery_level2desc_423","+2 Mana Regen per 5 seconds"
"game_mastery_level2desc_424",""
"game_mastery_level2desc_432","Gain an additional 1 gold every 10 seconds."
"game_mastery_level2desc_433","+2% Spell Vamp"
"game_mastery_level2desc_434",""
"game_mastery_level2desc_442","Increases starting gold by 40."
"game_mastery_level2desc_443","Increases experience gained by 2.5%."
"game_mastery_level2desc_444",""
"game_mastery_level2desc_452","Increases Health Regen per 5 seconds by 0.7% of maximum Mana."
"game_mastery_level2desc_453","+4% Cooldown Reduction"
"game_mastery_level2desc_463",""
"game_mastery_level3desc_211",""
"game_mastery_level3desc_212","+3 Attack Damage"
"game_mastery_level3desc_213","+3 Ability Power"
"game_mastery_level3desc_214",""
"game_mastery_level3desc_222","+3% Attack Speed"
"game_mastery_level3desc_223","+3% Cooldown Reduction"
"game_mastery_level3desc_224",""
"game_mastery_level3desc_231","+3% Critical Strike Chance"
"game_mastery_level3desc_232",""
"game_mastery_level3desc_233",""
"game_mastery_level3desc_234","Increases damage dealt by 1.5%."
"game_mastery_level3desc_241",""
"game_mastery_level3desc_242","+3% Life Steal"
"game_mastery_level3desc_243","+0.75 Ability Power per level (+13.5 Ability Power at champion level 18)"
"game_mastery_level3desc_252","+6 Armor Penetration"
"game_mastery_level3desc_253","Increases your Ability Power by 3.75%."
"game_mastery_level3desc_262",""
"game_mastery_level3desc_311",""
"game_mastery_level3desc_312","+6 Magic Resist"
"game_mastery_level3desc_313","+6 Armor"
"game_mastery_level3desc_314",""
"game_mastery_level3desc_322","+4.5 Health per level (+81 Health at champion level 18)"
"game_mastery_level3desc_323","+3 Health Regen per 5 seconds"
"game_mastery_level3desc_331",""
"game_mastery_level3desc_332",""
"game_mastery_level3desc_333","Reduces the damage taken from area effect abilities by 3%."
"game_mastery_level3desc_334",""
"game_mastery_level3desc_341",""
"game_mastery_level3desc_342","Increases Movement Speed by 3% when above 70% Health."
"game_mastery_level3desc_343","+0.45% Cooldown Reduction per level (+8.1% Cooldown Reduction at champion level 18)"
"game_mastery_level3desc_352","Reduces damage taken by 1.5%."
"game_mastery_level3desc_353","Gain 24 bonus gold on champion kills and assists (50% reduced effect on the Crystal Scar)."
"game_mastery_level3desc_362",""
"game_mastery_level3desc_411",""
"game_mastery_level3desc_412","Reduces time spent dead by 10%."
"game_mastery_level3desc_413","+12 Mana per level (+216 Mana at champion level 18) or +10 Energy"
"game_mastery_level3desc_414",""
"game_mastery_level3desc_422","+1.5% Movement Speed"
"game_mastery_level3desc_423","+3 Mana Regen per 5 seconds"
"game_mastery_level3desc_424",""
"game_mastery_level3desc_432","Gain an additional 1.5 gold every 10 seconds."
"game_mastery_level3desc_433","+3% Spell Vamp"
"game_mastery_level3desc_434",""
"game_mastery_level3desc_442",""
"game_mastery_level3desc_443","Increases experience gained by 3.75%."
"game_mastery_level3desc_444",""
"game_mastery_level3desc_452","Increases Health Regen per 5 seconds by 1% of maximum Mana."
"game_mastery_level3desc_453","+6% Cooldown Reduction"
"game_mastery_level3desc_463",""
"game_mastery_level4desc_211",""
"game_mastery_level4desc_212",""
"game_mastery_level4desc_213","+4 Ability Power"
"game_mastery_level4desc_214",""
"game_mastery_level4desc_222","+4% Attack Speed"
"game_mastery_level4desc_223","+4% Cooldown Reduction"
"game_mastery_level4desc_224",""
"game_mastery_level4desc_231","+4% Critical Strike Chance"
"game_mastery_level4desc_232",""
"game_mastery_level4desc_233",""
"game_mastery_level4desc_234",""
"game_mastery_level4desc_241",""
"game_mastery_level4desc_242",""
"game_mastery_level4desc_243","+1 Ability Power per level (+18 Ability Power at champion level 18)"
"game_mastery_level4desc_252",""
"game_mastery_level4desc_253","Increases your Ability Power by 5%."
"game_mastery_level4desc_262",""
"game_mastery_level4desc_311",""
"game_mastery_level4desc_312",""
"game_mastery_level4desc_313",""
"game_mastery_level4desc_314",""
"game_mastery_level4desc_322","+6 Health per level (+108 Health at champion level 18)"
"game_mastery_level4desc_323",""
"game_mastery_level4desc_331",""
"game_mastery_level4desc_332",""
"game_mastery_level4desc_333",""
"game_mastery_level4desc_334",""
"game_mastery_level4desc_341",""
"game_mastery_level4desc_342",""
"game_mastery_level4desc_343",""
"game_mastery_level4desc_352",""
"game_mastery_level4desc_353",""
"game_mastery_level4desc_362",""
"game_mastery_level4desc_411",""
"game_mastery_level4desc_412",""
"game_mastery_level4desc_413",""
"game_mastery_level4desc_414",""
"game_mastery_level4desc_422","+2% Movement Speed"
"game_mastery_level4desc_423",""
"game_mastery_level4desc_424",""
"game_mastery_level4desc_432","Gain an additional 2 gold every 10 seconds."
"game_mastery_level4desc_433",""
"game_mastery_level4desc_434",""
"game_mastery_level4desc_442",""
"game_mastery_level4desc_443","Increases experience gained by 5%."
"game_mastery_level4desc_444",""
"game_mastery_level4desc_452",""
"game_mastery_level4desc_453",""
"game_mastery_level4desc_463",""
"game_mastery_level5desc_211",""
"game_mastery_level5desc_212",""
"game_mastery_level5desc_213",""
"game_mastery_level5desc_214",""
"game_mastery_level5desc_222",""
"game_mastery_level5desc_223",""
"game_mastery_level5desc_224",""
"game_mastery_level5desc_231",""
"game_mastery_level5desc_232",""
"game_mastery_level5desc_233",""
"game_mastery_level5desc_234",""
"game_mastery_level5desc_241",""
"game_mastery_level5desc_242",""
"game_mastery_level5desc_243",""
"game_mastery_level5desc_252",""
"game_mastery_level5desc_253",""
"game_mastery_level5desc_262",""
"game_mastery_level5desc_311",""
"game_mastery_level5desc_312",""
"game_mastery_level5desc_313",""
"game_mastery_level5desc_314",""
"game_mastery_level5desc_322",""
"game_mastery_level5desc_323",""
"game_mastery_level5desc_331",""
"game_mastery_level5desc_332",""
"game_mastery_level5desc_333",""
"game_mastery_level5desc_334",""
"game_mastery_level5desc_341",""
"game_mastery_level5desc_342",""
"game_mastery_level5desc_343",""
"game_mastery_level5desc_352",""
"game_mastery_level5desc_353",""
"game_mastery_level5desc_362",""
"game_mastery_level5desc_411",""
"game_mastery_level5desc_412",""
"game_mastery_level5desc_413",""
"game_mastery_level5desc_414",""
"game_mastery_level5desc_422",""
"game_mastery_level5desc_423",""
"game_mastery_level5desc_424",""
"game_mastery_level5desc_432",""
"game_mastery_level5desc_433",""
"game_mastery_level5desc_434",""
"game_mastery_level5desc_442",""
"game_mastery_level5desc_443",""
"game_mastery_level5desc_444",""
"game_mastery_level5desc_452",""
"game_mastery_level5desc_453",""
"game_mastery_level5desc_463",""
"game_masterygroup_displayname_1","Offense"
"game_masterygroup_displayname_2","Defense"
"game_masterygroup_displayname_3","Utility"
"game_messagebox_cancel","Cancel"
"game_messagebox_caption_connectionretry","Failed to Connect"
"game_messagebox_caption_disconnect","Network Warning"
"game_messagebox_caption_loadtimeout","Loading Timeout"
"game_messagebox_caption_replay_fail","Download Failed"
"game_messagebox_caption_replay_gameEnded","Game Over"
"game_messagebox_caption_tutorial","The Proving Grounds"
"game_messagebox_no","No"
"game_messagebox_ok","OK"
"game_messagebox_text_afkwarningcaption","AFK warning"
"game_messagebox_text_afkwarningmessage","Warning: You must become active so that you won't be disconnected. Please note that long periods of idleness in Matchmade games may lead to temporary account suspension."
"game_messagebox_text_connectionretry","Unable to connect to the server.  If you have a firewall, it may be blocking the connection.  Please refer to your firewall's documentation.  Would you like to retry the connection?"
"game_messagebox_text_disconnect","You have disconnected.  Would you like to reconnect?"
"game_messagebox_text_disconnectafk","You have been disconnected for prolonged inactivity.  The game will now exit."
"game_messagebox_text_loadtimeout","Your loading time has exceeded the server timeout limit, please try to reconnect to the game."
"game_messagebox_text_pause","The game has been paused."
"game_messagebox_text_pause_five_mins_remaining","The game has been paused.<br /><br />Pause time remaining:<br /><font color='#FFFF00'>%02d:%02d</font>"
"game_messagebox_text_pause_one_min_remaining","The game has been paused.<br /><br /><font color='#E32727'>Game resuming soon:<br />%02d:%02d</font>"
"game_messagebox_text_pause_remaining","The game has been paused.<br /><br />Pause time remaining:<br />%02d:%02d"
"game_messagebox_text_reconnect","Reconnecting ... Please wait."
"game_messagebox_text_reconnectfail","Unable to reconnect.  The game will now exit."
"game_messagebox_text_replay_fail","Unable to download spectator data. The game will now exit."
"game_messagebox_text_replay_gameEnded","The game ended without a result and will now exit."
"game_messagebox_text_resume","The game has been unpaused.<br />Play will resume in:<br />%d"
"game_messagebox_text_tutorial","Press OK to continue."
"game_messagebox_yes","Yes"
"game_minutes","minutes"
"game_neg_gold_floating_text","%.0fg"
"game_ObjectTooltips_[Champion]_EnemyTooltip","<titleLeft>Champion</titleLeft><subtitleLeft>Enemy Champion</subtitleLeft><mainText>They will try and kill your Champion if given the opportunity, but killing them will yield experience and Gold. When you attack enemy Champions they will call for help causing their minions and turrets to attack you immediately.</mainText>"
"game_ObjectTooltips_[Champion]_FriendlyTooltip","<titleLeft>Champion</titleLeft><subtitleLeft>Ally Champion</subtitleLeft><mainText>Aid them in battle and stick together to defeat your enemy.</mainText>"
"game_ObjectTooltips_[HQ]_EnemyTooltip","<titleLeft>The Nexus</titleLeft><subtitleLeft>Enemy Structure</subtitleLeft><mainText>This is the center of your enemy's power and your team's primary objective. Destroy this structure to defeat your enemy and win the game.</mainText>"
"game_ObjectTooltips_[HQ]_FriendlyTooltip","<titleLeft>The Nexus</titleLeft><subtitleLeft>Ally Structure</subtitleLeft><mainText>This is the center of your team's power and your enemy's primary objective. Protect this structure at all costs. If your team's Nexus is destroyed your team will lose the game.</mainText>"
"game_ObjectTooltips_[Inhibitor]_EnemyDisabledTooltip","<titleLeft>Damaged Inhibitor</titleLeft><subtitleLeft>Enemy Structure</subtitleLeft><mainText>This Inhibitor has been damaged allowing the Nexus crystal's power to energize your minions. It will be restored in short time and their power will be lost.</mainText>"
"game_ObjectTooltips_[Inhibitor]_EnemyTooltip","<titleLeft>Inhibitor</titleLeft><subtitleLeft>Enemy Structure</subtitleLeft><mainText>As long as your enemy's Inhibitor contains the Nexus crystal's power your minions will remain weakened.</mainText>"
"game_ObjectTooltips_[Inhibitor]_FriendlyDisabledTooltip","<titleLeft>Damaged Inhibitor</titleLeft><subtitleLeft>Ally Structure</subtitleLeft><mainText>This Inhibitor has been damaged allowing the Nexus crystal's power to energize your enemy's minions. It will be restored in short time and their power will be lost.</mainText>"
"game_ObjectTooltips_[Inhibitor]_FriendlyTooltip","<titleLeft>Inhibitor</titleLeft><subtitleLeft>Ally Structure</subtitleLeft><mainText>As long as your Inhibitor contains the Nexus crystal's power your enemy's minions will remain weakened.</mainText>"
"game_ObjectTooltips_[Minion]_EnemyTooltip","<mainText>This is an enemy Minion! Kill it for gold and exp!</mainText>"
"game_ObjectTooltips_[Minion]_FriendlyTooltip","<mainText>This is a friendly Minion! Follow it into battle!</mainText>"
"game_ObjectTooltips_[Minion]_NeutralTooltip","<mainText>This is an aggressive Monster! Kill it for its Treasure!</mainText>"
"game_ObjectTooltips_[Shop]_FriendlyTooltip","<titleLeft>Champion Item Shop</titleLeft><subtitleLeft>Ally Structure</subtitleLeft><mainText>Click to open the Champion Item Shop and purchase items to enhance your Champion's stats and Abilities.</mainText>"
"game_ObjectTooltips_[SpawnPool]_FriendlyTooltip","<titleLeft>Spawning Pool</titleLeft><subtitleLeft>Ally Structure</subtitleLeft><mainText>This is where Champions begin each game session and where they will spawn after death. Standing here will refill your Champion's energies while protecting it from enemy attack.</mainText>"
"game_ObjectTooltips_[Turret]_EnemyTooltip","<titleLeft>Turret</titleLeft><subtitleLeft>Enemy Turret</subtitleLeft><mainText>Protecting the path to your enemy's base, turrets will always attack those who attack their allied Champions.</mainText>"
"game_ObjectTooltips_[Turret]_FriendlyTooltip","<titleLeft>Turret</titleLeft><subtitleLeft>Ally Structure</subtitleLeft><mainText>Protecting the path to your team's base, turrets will always attack enemies who attack your Champion.</mainText>"
"game_odin_tip_text_capture","Click on a tower to begin capturing a point"
"game_odin_tip_text_interrupt","Champion damage will halt captures"
"game_odin_tip_text_victory","Control more points than the enemy"
"game_odin_tip_title_capture","Capturing a Point"
"game_odin_tip_title_interrupt","Interrupting Point Capture"
"game_odin_tip_title_victory","Damaging the Enemy Nexus"
"game_ping_[Danger]_AbandonLocation","@SrcName@ <font color='#EECCCC'>is falling back from the</font> @DstName@"
"game_ping_[Danger]_FallBack","@SrcName@ <font color='#EECCCC'>signals</font> @DstSummoner@ - (@DstName@) <font color='#EECCCC'>to fall back</font>"
"game_ping_[Danger]_FallBackGround","@SrcName@ <font color='#EECCCC'>signals everyone to fall back</font>"
"game_ping_[Danger]_RetreatFromHero","@SrcName@ <font color='#EECCCC'>signals everyone to back away from</font> @DstSummoner@ - (@DstName@)"
"game_ping_[Danger]_RetreatFromLocation","@SrcName@ <font color='#EECCCC'>signals everyone to fall back from the</font> @DstName@"
"game_ping_[Offense]_DefendLocation","@SrcName@ requests aid at the @DstName@"
"game_ping_[Offense]_FocusHero","@SrcName@ has targeted @DstSummoner@ - (@DstName@)"
"game_ping_[Offense]_FocusLocation","@SrcName@ has targeted the @DstName@"
"game_ping_[Throttled]_PingThrottled","You must wait before issuing more pings."
"game_plus_gold_floating_text","+%.0fg"
"game_quest_capture_a","Capture the Quarry   "
"game_quest_capture_b","Capture the Refinery   "
"game_quest_capture_c","Capture the Windmill   "
"game_quest_capture_d","Capture the Drill   "
"game_quest_capture_e","Capture the Boneyard   "
"game_quest_defend_a","Defend the Quarry   "
"game_quest_defend_b","Defend the Refinery   "
"game_quest_defend_c","Defend the Windmill   "
"game_quest_defend_d","Defend the Drill   "
"game_quest_defend_e","Defend the Boneyard   "
"game_seconds","seconds"
"game_spell_description_AbsoluteZero","Nunu begins to sap the area of heat, slowing all nearby enemies. When the spell ends, he deals massive damage to all enemies caught in the area."
"game_spell_description_AdrenalineRush","Increases dodge chance for a few seconds.  While ready to cast and out of combat, passively increases movement speed."
"game_spell_description_AhriFoxFire","Ahri releases three fox-fires, which after a short delay lock on and attack nearby enemies."
"game_spell_description_AhriOrbofDeception","Ahri sends out and pulls back her orb, dealing magic damage on the way out and True damage on the way back."
"game_spell_description_AhriSeduce","Ahri blows a kiss that damages and charms an enemy it encounters, causing them to walk harmlessly towards her."
"game_spell_description_AhriTumble","Ahri dashes forward and fires essence bolts, damaging 3 nearby champions. Spirit Rush can be cast up to three times before going on cooldown."
